bairro,microrregiao
recife,1.1
santo amaro,1.1
boa vista,1.2
cabanga,1.2
ilha do leite,1.2
paissandu,1.2
santo antonio,1.2
sao jose,1.2
soledade,1.2
coelhos,1.3
ilha joana bezerra,1.3
arruda,2.1
campina do barreto,2.1
campo grande,2.1
encruzilhada,2.1
hipodromo,2.1
peixinhos,2.1
ponto de parada,2.1
rosarinho,2.1
torreao,2.1
agua fria,2.2
alto santa teresinha,2.2
beberibe,2.2
bomba do hemeterio,2.2
cajueiro,2.2
dois unidos,2.2
fundao,2.2
linha do tiro,2.2
porto da madeira,2.2
beberibe,2.3
dois unidos,2.3
linha do tiro,2.3
aflitos,3.1
alto do mandu,3.1
apipucos,3.1
casa amarela,3.1
casa forte,3.1
derby,3.1
dois irmaos,3.1
espinheiro,3.1
gracas,3.1
jaqueira,3.1
monteiro,3.1
parnamirim,3.1
poco,3.1
santana,3.1
sitio dos pintos,3.1
tamarineira,3.1
alto jose bonifacio,3.2
alto jose do pinho,3.2
mangabeira,3.2
morro da conceicao,3.2
vasco da gama,3.2
brejo da guabiraba,3.3
brejo de beberibe,3.3
corrego do jenipapo,3.3
guabiraba,3.3
macaxeira,3.3
nova descoberta,3.3
passarinho,3.3
pau-ferro,3.3
cordeiro,4.1
ilha do retiro,4.1
iputinga,4.1
madalena,4.1
prado,4.1
torre,4.1
zumbi,4.1
engenho do meio,4.2
torroes,4.2
caxanga,4.3
cidade universitaria,4.3
varzea,4.3
afogados,5.1
bongi,5.1
mangueira,5.1
mustardinha,5.1
san martin,5.1
areias,5.2
cacote,5.2
estancia,5.2
jiquia,5.2
barro,5.3
coqueiral,5.3
curado,5.3
jardim sao paulo,5.3
sancho,5.3
tejipio,5.3
toto,5.3
boa viagem,6.1
brasilia teimosa,6.1
imbiribeira,6.1
ipsep,6.1
pina,6.1
ibura,6.2
jordao,6.2
cohab,6.3
